"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22204.1283247629","","81504.3246795426","57734.2047930283","70175.4385964912","51813.4715025907","327391.013701952","134430.377118349","260850.899533999","319865.786912214","43435.9671163359","14581.9926001248","333018.064914714","516648.067296503","992520.508036017","243886.259387872","419654.819780104","914912.225408408","1182236.04045291","344286.087654456","36917.9789255317","443503.352774425","",
"Bulgaria","BGR","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3522183","2582976.9","3917236.56111204","4669970.43591628","7089744.52339917","5049809.51206603","10516830.6626388","10864074.8096957","11411533.0804541","10027643.597313","18320000","11950000","22800000","26720000","32710000","50030000","50430000","52660000","88830000","",
"Bahrain","BHR","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3709692.30328127","4293126.43215238","4772375.14706026","12390550.8875808","15124105.3121197","12827695.8030105","13158734.5221215","17531852.245157","13375078.4102952","12892952.70566","13046125.1194854","11614987.2591783","26777680.25989","",
"Belarus","BLR","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700000","900000","700000","900000","500000","800000","1400000","1700000","3100000","5900000","3100000","4700000","9500000","8500000","22800000","22900000","27700000","39100000","22300000","27500000","35100000","66100000","",
"Belize","BLZ","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","450000","550000","2900000","2900000","3750000","600000","","100000","","","","","","","","","","","","","","","","","","2500000","","","","","","","","",
"Bermuda","BMU","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230000","55773.4050632911","109679.964178261","25642.8863018335","3272.417823524","8384","8589.408","9281.910864","","","125000","387998","301663","",
"Bolivia","BOL","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600000","1600000","1640000","1800000","1690000","1840000","1920000","1780000","2005000","2250000","2500000","2804000","7178601.88","15205383.6251944","17905865.0639759","18938481.8788307","22344051.6079534","24183112.9121731","24482350.0385278","10110622.5761646","",
"Brazil","BRA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","134000000","131000000","127000000","159000000","11000000","12000000","19000000","15000000","11000000","11000000","7000000","4000000","5000000","6000000","12000000","12000000","13000000","12000000","34000000","19000000","32000000","78000000","97000000","142000000","133000000","125190000","112092000","100258000","108116000","114479000","101660000","150307000","319410000","465444000","433807800","189605958.45","300800012.92","276418446.25","368127587.4","375097938.44","581080520.4","650833689.72","642157301.16","825475487.44","",
"Barbados","BRB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","11688.8947433487","12878.5131374745","11500","6000","19000","234500","350000","400000","450000","650000","700000","2350000","3850000","150000","650000","350000","600000","250000","100000","400000","350000","50000","3500000","12125000","10600000","10450000","12750000","12800000","16500000","850000","2305743.605","1701685.19","4187321.57","393011","3886373","2524058.82","3431865.74","10242263.9362","6945565.7712","33550842.1562","24490204.415","17892108.845","14370402.5816666","","","",
"Brunei Darussalam","BRN","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201162.046086225","101334.856509624","159089.583753271","14727.1271661905","13001.220638673","12422.5004219218","14886.9949661617","15779.2501858982","6408.72069580119","13088.2197708661","37225.3359184749","22012.5173364755","11086.6624815688","",
"Botswana","BWA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49466.8300171319","47399.542594414","41269.8740237095","37248.8658185969","36072.3466985385","","104909.566857707","172745.085047375","21624.449164461","","5135.72412701669","459876.567416126","3367905.4616152","5400704.61692808","461229.693270713","317307.161904916","233066.279144076","485552.383021169","85757.1131347964","130346.298483808","13970.0079065918","173650.435628843","93701.1230038856","187463.313805302","121558.541180919","589497.189156783","568000.235142142","603116.059090356","",
"Central African Republic","CAF","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","37516792.8237072","32395938.2376613","41357116.8874929","36279243.0028062","49066742.8158129","56335106.4303173","70071810.3575791","105070212.919926","122561166.720526","234647916.050484","344305753.429975","445988895.453393","519221992.17516","607169306.482398","734308254.840363","877095726.661565","1163006889.42283","1532420477.71569","1648658125.62898","2323901618.03455","2532923681.99301","2575964575.85232","3005417256.13447","3183299993.32432","2873468638.59557","3359028697.79946","3835550664.31666","4129666783.75991","3604954463.00577","2813939869.12986","3348091955.20745","3931432400.06198","4569255358.03211","4763593321.23952","4087280234.12164","4514595456.95755","4880925495.65357","5508143492.10496","",
"Central Europe and the Baltics","CEB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48527928.9659245","18057553.6538157","42308361.487903","40065031.4464305","51801878.2228019","69880163.6538146","241113331.497026","204280301.918548","195815907.106213","250588751.279083","292250161.146669","341881508.253121","571896024.771104","494910786.03835","676180804.597631","1083194644.38144","731834242.849773","1169508917.21668","2699604351.06409","2377997343.7967","3164829290.49411","3116009043.5859","3094374576.63193","3084692506.47224","3264393212.07214","2758269381.91026","3011995671.33937","3014451772.9145","3321220051.22333","",
"Switzerland","CHE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2203991618.26492","2521824633.58634","3394690983.73447","3531408528.00215","5249300745.55459","6919641079.54846","6424940414.92188","7507078111.3155","9103992747.16153","12083757951.9399","13358236534.519","15763623722.5864","17748226446.0836","19085607399.0826","18699063488.0459","17427557422.6674","22027170936.038","23012565593.0105","25849646402.636","",
"Channel Islands","CHI","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000","500000","500000","1700000","6000000","1900000","10100000","10000000","5100000","6000000","9999999.99999999","24902786.8449786","41100000","34916846","31087556.57","32233982.59","33282776.11","30838614.89","41572549.83","25423242.8","36137062.39","55297350.49","36188831.95","38257351.95","40769468.9","41950301.36","38437446.35","50489332.23","46185212.23","",
"China","CHN","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55000000","63000000","75000000","80348000","110000000","132822320.4866","106978898.2646","236359258.2114","157401785.777","204503785.234955","342634074.968637","570536223.222954","429452520","830483814","743301698","1044102041","886670295","676381923.65","1084600061.07","1161195654.71","4803034260.13","5561288668.09","",
"Cote d'Ivoire","CIV","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22969.7768029809","","298206.250323954","136085.25406391","","","33747.499937353","720895.467024129","973636.178973586","67657.6599152079","1553950.85127917","","1878578.90571318","",
"Cameroon","CMR","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","750781.31019816","","201444.884370403","720984.376799017","550934.261925661","35447.5544119937","13109586.2817066","176577.004236525","432273.001071361","180307.089694789","273676.737153646","171329.873960652","1017.03228274894","1733137.59430848","2459983.63367135","56117.0527682107","44831.2051898906","161752.744134621","121364.278851431","347078.421061682","229697.768029809","250713.636268662","412556.015485771","223264.869948602","317303.598660686","405306.221760563","191947.474977399","204494.992752246","206579.211747111","592004.524258069","612329.967228466","607680.104388957","8534513.10051088","",
"Congo, Dem. Rep.","COD","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35200000","49600000","53800000","125000000","108500000","","","","","","","","","","",
"Congo, Rep.","COG","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1605374.17101323","","","",
"Colombia","COL","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","7999999.99996948","7999999.99996948","2999999.99996948","3008939.99996948","2171420","2384260","2405279.99996948","9000000","9000000","12000000","9000000","14000000","11000000","17000000","26000000","30000000","33000000","29000000","11000000","11000000","13000000","17000000","21000000","29000000","24300000","30200000","135500","229500","671560","1375780","3757310","6120540","5414030","2639990","4068200","5981750","7563880","9937480","11342340","16780790","29713930","39049421.6275556","56490714.5344445","59001175.6225601","89760924.2895011","66438728.6165","56368810.695","52390447.09","46378490.74","62136046.56","105598865.48","",
"Comoros","COM","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924301.395054977","","","","","","","","","","","","1580933.98668536","","","","",
"Cabo Verde","CPV","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1248.82922260381","","","32489.2052748279","157459.284425228","82186.7419083678","94027.6180687704","30317.4878556558","10291.6201189469","424462.490609237","2969.51299986801","43161.3274506043","2396.1661341853","129745.318981364","560779.898968927","74107.5824402165","","","","672.650043566547","","","","","697.377087288365","","","","26889.4919394373","41901.8778712697","47363.9567969454","",
"Costa Rica","CRI","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","1000000","1000000","1400000","1400000","200000","","","","200000","200000","","","","1200000","2600000","2100000","2500000","2500000","2600000","2190000","170000","220000","1181000","","","","","","","","","","","","","670.573626680772","196.422122728749","","435590.958032504","5370940.35711397","5639487.37496967","5921461.74371815","",
"Caribbean small states","CSS","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","11688.8947433487","12878.5131374745","11500","6000","19000","634500","350000","400000","450000","650000","700000","2350000","8400000","3300000","18850000","5950000","7650000","2850000","3400000","9700000","5450000","3950000","22100000","36125000","34403703.7037037","32950000","33975925.9259259","41800000","57030000","45056296.2962963","45729392.605","49776701.19","56406028.0348148","55948101.8148148","63127581.6763657","56424232.0959248","56314145.377647","66623110.5570799","63319846.138863","44619478.8786912","35796432.0371026","28391563.6170252","24444637.627131","7417116.98241438","6476100.86957963","",
"Cuba","CUB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4005586.59217877","5569832.40223464","5195530.72625698","7603351.95530726","9519553.0726257","4810055.86592179","5094972.06703911","4413407.82122905","",
"Cayman Islands","CYM","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8294113.29603464","9293717.29445064","","",
"Cyprus","CYP","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3315502.0720046","6433471.20619543","9729569.84923059","11586913.0323322","12892584.9678906","16066602.7090916","26240952.660283","42720700.0268985","15008149.7721967","17660983.5423303","15104740.485774","15965459.791779","21076128.5814353","356998.46044957","","","","173942.065085414","","","","","","","",
"Czech Republic","CZE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1468948.03691454","3680539.84654756","13181729.8901637","42784149.883075","33780370.65609","57357340.6704584","42908927.9472013","44285427.6717208","36485866.3688542","45280976.361301","50304239.5723995","37581677.6551513","39802928.3702475","31717540.8022034","35915035.2624841","144904843.582737","177970514.71691","249267461.616847","284733070.499894","352174748.489915","388825157.622931","493180815.331754","465248147.477344","445442311.13334","421049854.502799","495670550.048555","",
"Germany","DEU","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","156379882.202346","211276916.800285","225350237.749492","275539638.387755","324885739.281455","304438860.548789","355860382.36182","462286663.765467","525965634.558066","606121398.698068","546035547.736916","561911840.745762","592844962.522169","583238416.92703","618173314.744476","920418045.62258","1161327535.66745","1265022010.25465","1340511286.38089","1986983701.33164","1837177849.04561","2026275875.16879","1933633973.95557","2111251392.10444","2705200939.58362","2878685212.1817","2736737194.34244","3094772570.80723","2690187258.46154","2535822064.86353","2742329706.6839","3324060970.4621","3579689299.91534","4466712872.6912","5743253423.72683","5161751714.39285","6307875661.91765","7335720009.32002","7212871240.40571","8276542348.34055","10723917538.9949","10295613426.3183","18028602139.2199","23486335058.5512","24082893579.6633","28726730973.8087","31138409910.6735","36316807065.6319","",
"Djibouti","DJI","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203703.703703704","100000","25925.9259259259","","","","","","","","","","10948.1481481481","","","","","","94.8148148148148","71.1111111111111","119.093333333333","",
"Denmark","DNK","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1262022630.11981","1583757819.08662","1731557199.71218","2369450702.44633","2607872589.30152","2030589542.92525","2467921752.07129","2264341595.26795","2314926349.68148","2497261263.25473","2088570347.38057","2429038179.13235","3202244987.18987","3327687367.50831","",
"Dominican Republic","DOM","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000.00000009","1460420.13764525","2928308.67952458","1916053.51417635","2811908.23360763","1713651.6757524","2844580.77121723","760560.874550111","395792.554266006","2222340.26847965","474785.167877832","138472.735684044","","",
"East Asia & Pacific (excluding high income)","EAP","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","3588072.90124733","839589.854691582","","532747.870859774","657827.854923066","1279589.73152684","456000.124440152","1743221.18570787","772285.659655679","3910374.95031737","2665845.46612035","2018347.19674851","2532374.65475731","2586926.82427575","4318753.48240747","11622280.1539025","19114454.1344848","12422688.3265273","17691597.7278381","2599221.69028131","30131357.4603979","117113768.102598","70209340.482056","117073637.338192","117424828.016309","141994064.027107","157294737.462183","140411826.6301","524803681.81906","470530100.737756","297291997.014243","470305128.012077","913943056.455127","800046532.086079","1031917514.97367","1036891070.51947","1355995681.59673","1118001671.66143","910849030.985849","1346945666.41104","1418518696.72767","5266061335.93075","6105987530.03173","",
"Early-demographic dividend","EAR","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","2799998.88112045","1399999.44056022","2799998.88112045","2799998.88112045","2799998.88112045","4199998.32168067","5599997.76224089","2799998.88112045","4199998.32168067","6985476.14225652","10251867.9728003","5773073.19604799","11377986.3492987","13305088.2064557","43049596.8191365","38597881.8231883","24178241.3750546","26953492.8905608","57536211.6555341","73720484.8609869","76914280.1330137","59495277.7176958","60030702.227398","67811989.2320003","85946031.9929952","95446026.7705085","171232110.670485","120754339.258523","248230228.549882","336833011.005372","338211793.567427","355675939.483712","368789163.526734","365069728.961995","456389211.294164","480065488.038449","515972715.087075","459639513.803539","792731363.022776","635822783.718521","656597514.099551","804740613.504125","1116110486.14854","1390747493.27144","1184623985.66825","1351027389.06207","1435037593.96156","1247522535.58169","1368369200.08722","1840749542.37362","1833432304.28508","2026691402.63704","2561385967.00056","2153728621.27037","2420493465.71496","2796794881.27639","2851266717.99123","",
"East Asia & Pacific","EAS","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","5588072.90124733","839589.854691582","3000000","2532747.87085977","23857827.8549231","5079589.73152684","6156000.12444015","8643221.18570787","4772285.65965568","7110374.95031737","18265845.4661203","12318347.1967485","45132374.6547573","196023983.515211","203749388.047226","226352318.311215","272195474.406196","328863695.724932","411793115.116361","610806374.669333","7243205630.10201","8074678668.56579","8233792582.7182","9288495217.93494","11661418009.0009","12217133831.9224","12281693861.0324","14864693343.9339","19444784730.4628","21727246706.5214","24226325869.8204","27629998113.2569","31593100171.8108","28543246483.0832","34468916952.5618","38806274277.9664","41641819578.019","42193418778.544","49495923639.5182","54795024704.1701","56438160124.3465","64134288637.1428","69996482039.4321","",
"Europe & Central Asia (excluding high income)","ECA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5610000","7030000","261530000","179320000","35113708.9929127","52449744.7685021","111431123.638832","94207402.5085556","169508609.628748","213413447.42555","313571287.311534","351719403.798371","382670975.200341","508414626.917105","824963398.779887","822775434.801418","1085177557.87472","1052870492.85018","1251165493.03596","1267496871.66978","1172904203.50936","1132896805.84966","938319076.520805","1170743214.93255","1439294592.80767","",
