"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.96753350012612","7.00919125001793","8.05270582231448","10.5750824702327","11.0919491573205","11.5101607150307","10.2006246425162","9.40560933162746","8.61373050462046","10.1311181683697","11.7974188681463","12.1856722657834","","",
"Angola","AGO","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0091980140935","52.7883851391081","41.6333607635908","26.6206782539432","29.5805671924091","27.3183059652283","24.425016261414","46.1028361887204","44.9866019752973","42.667610575559","22.250747398692","34.9944428996716","44.5922858282911","36.2254247338731","35.7058638205435","30.8845485149836","18.77664517494","15.7207689732106","16.3605913482519","","",
"Albania","ALB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4825458879515","14.1239092229962","16.0249440246207","23.1519158413569","","","","23.9807289534429","24.2459062912734","24.5508169700614","","","","","","","23.9003179150735","23.050710461584","22.3049552919288","24.5251046002764","24.7381584795417","24.2785716086855","25.7225812161357","25.5684261921031","",
"Andorra","AND","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1205934578293","30.4417780466423","","27.0494143392283","20.9167371769734","","","","",
"United Arab Emirates","ARE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56351712747652","6.91292989917744","6.51896326009429","","","","","","","","","","","","3.41298208043121","3.24515893435338","3.13471740749789","3.0093695937545","3.53040660735708","4.03139248583029","3.56640561859937","3.45509007598989","",
"Argentina","ARG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3875396339054","11.1620910357746","12.2806411476509","15.0995556252854","14.8638517712865","14.0262971514164","13.0408350549651","13.6002991200544","13.7561266874785","14.0111384261594","14.1776102532074","13.7775019608536","14.0561136349095","17.1997019513553","16.7347777696665","16.6216575161027","17.2017551603052","17.9300729987004","18.9717341522181","20.1360210279783","21.2413164267537","20.196408074281","21.182234604867","21.5652829643596","22.3322943705014","22.1490803040164","21.2567013071388","19.3651896285052","17.8709432193014","",
"Armenia","ARM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1983826790851","19.3048587396415","19.7633111464399","21.3849781783405","22.8602935610245","22.2532496488502","22.6479513525881","22.7264264431653","22.597804052938","24.1168167453311","24.5145567085198","23.0924926716717","22.8347288893173","22.5254651052115","22.4984181893761","",
"American Samoa","ASM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
